id,cuisine
18009,brazilian
28583,southern_us
41580,moroccan
29752,southern_us
35687,british
38527,british
19666,italian
41217,korean
28753,mexican
22659,irish
21749,cajun_creole
44967,greek
42969,brazilian
44883,cajun_creole
20827,british
23196,irish
35387,southern_us
33780,british
19001,mexican
16526,jamaican
42455,korean
47453,brazilian
42478,moroccan
11885,vietnamese
16585,italian
29639,russian
26245,vietnamese
38516,korean
47520,british
26212,cajun_creole
23696,jamaican
14926,thai
13292,indian
27346,japanese
1384,chinese
15959,brazilian
42297,russian
46235,jamaican
21181,southern_us
9809,brazilian
22982,cajun_creole
23120,filipino
26743,irish
12741,mexican
7050,italian
22437,indian
14760,spanish
10649,thai
48065,indian
39931,korean
32935,moroccan
40142,thai
19103,spanish
38267,korean
30512,italian
3324,vietnamese
26197,russian
384,japanese
47230,chinese
39748,jamaican
41038,russian
24878,mexican
42624,filipino
45706,korean
8874,mexican
23878,moroccan
47234,filipino
24075,vietnamese
46323,spanish
22562,brazilian
11358,irish
9201,indian
38620,vietnamese
47638,thai
21238,indian
11053,korean
46602,japanese
13937,mexican
21876,southern_us
20798,greek
24381,filipino
48178,spanish
45832,french
27560,vietnamese
23247,irish
28975,jamaican
43230,greek
9126,jamaican
13021,brazilian
28194,vietnamese
25617,british
36125,italian
16454,mexican
1607,korean
38526,russian
18755,southern_us
12035,spanish
16047,greek
15419,italian
16971,indian
31459,brazilian
27888,russian
13900,jamaican
12376,vietnamese
1658,korean
29431,brazilian
22290,greek
28464,french
37953,korean
20814,filipino
35987,cajun_creole
2329,italian
43237,spanish
30647,russian
16675,italian
37722,mexican
32438,korean
20287,thai
43296,moroccan
6237,greek
48560,korean
20810,moroccan
34951,french
31850,filipino
47745,cajun_creole
37815,vietnamese
9872,italian
5592,russian
27411,chinese
39320,irish
40247,russian
19792,mexican
40754,british
14365,jamaican
14468,southern_us
47563,southern_us
19611,italian
7163,cajun_creole
43069,mexican
27505,korean
36500,thai
25932,jamaican
817,italian
8471,french
48250,irish
9413,spanish
12097,cajun_creole
8416,cajun_creole
5892,greek
676,southern_us
47015,korean
21891,greek
14630,moroccan
36195,korean
25981,spanish
39964,brazilian
28298,thai
31954,cajun_creole
26620,mexican
14932,cajun_creole
47426,mexican
1038,russian
8077,brazilian
37141,jamaican
45447,british
9624,irish
45589,irish
7265,greek
31844,british
13046,greek
9867,cajun_creole
29184,moroccan
34783,spanish
2823,vietnamese
18932,mexican
11112,mexican
12859,vietnamese
9365,irish
44516,cajun_creole
18193,vietnamese
46545,jamaican
9900,cajun_creole
14815,thai
39690,cajun_creole
22193,southern_us
11739,british
27311,korean
36920,indian
7861,brazilian
29248,moroccan
43142,mexican
7574,spanish
8610,mexican
989,italian
46926,mexican
40816,moroccan
39726,vietnamese
42229,southern_us
10474,moroccan
22140,mexican
31985,indian
46165,korean
20860,greek
42494,italian
15968,filipino
20484,filipino
26661,brazilian
47182,japanese
22528,russian
3861,thai
1203,cajun_creole
45040,irish
33287,indian
10097,jamaican
42005,southern_us
12423,french
39613,brazilian
30276,brazilian
18686,spanish
3031,irish
40093,italian
182,british
46591,spanish
4092,chinese
13722,brazilian
44575,greek
14989,french
13270,moroccan
25529,italian
12140,moroccan
23127,mexican
13523,italian
41270,italian
8362,thai
11735,southern_us
27935,italian
28198,mexican
37765,indian
33856,filipino
30198,irish
42521,spanish
21567,southern_us
36995,russian
24967,thai
45002,jamaican
48925,indian
36914,indian
2280,russian
14729,cajun_creole
4594,jamaican
2237,brazilian
45631,moroccan
2317,jamaican
23079,jamaican
29333,japanese
48066,brazilian
15737,russian
30580,jamaican
1119,filipino
46336,moroccan
5026,cajun_creole
10749,chinese
31020,cajun_creole
30805,british
27653,french
35060,french
39174,brazilian
49509,french
31784,spanish
31408,spanish
36029,jamaican
11045,brazilian
6561,russian
26992,jamaican
31179,southern_us
35099,spanish
11018,vietnamese
17930,mexican
21302,greek
46352,thai
25132,mexican
7010,mexican
25850,southern_us
19601,cajun_creole
7935,italian
34994,filipino
25113,french
45523,southern_us
34977,cajun_creole
7124,spanish
27514,moroccan
27178,mexican
47880,korean
29197,spanish
16347,irish
20333,spanish
29112,korean
7510,russian
13897,vietnamese
35699,moroccan
20520,mexican
38920,mexican
21775,thai
37475,vietnamese
40131,french
1939,mexican
48268,mexican
34815,moroccan
13797,spanish
39063,vietnamese
29064,thai
26896,greek
29477,italian
3352,irish
4966,mexican
7316,jamaican
23879,mexican
16525,greek
32843,french
39574,brazilian
32737,spanish
44788,filipino
28772,moroccan
34189,jamaican
33719,cajun_creole
25846,indian
1423,japanese
4328,vietnamese
579,italian
5219,japanese
2314,jamaican
31143,moroccan
13409,mexican
3281,moroccan
15804,filipino
40835,southern_us
39262,korean
37013,vietnamese
14807,jamaican
47956,irish
2580,mexican
13720,french
23008,vietnamese
5951,jamaican
39312,cajun_creole
6176,irish
17617,brazilian
57,mexican
43422,indian
49403,spanish
44751,russian
21865,irish
26584,mexican
39355,korean
14038,southern_us
45396,mexican
49715,mexican
41515,thai
30445,brazilian
4090,irish
17207,vietnamese
40376,indian
19398,mexican
22347,chinese
49671,mexican
40854,italian
926,japanese
47919,filipino
20571,mexican
18866,southern_us
48742,mexican
14577,british
29481,irish
40996,italian
34470,indian
31147,mexican
35932,french
27221,southern_us
48301,russian
29925,korean
48640,thai
22873,southern_us
10565,cajun_creole
15509,greek
37569,southern_us
13306,korean
40474,moroccan
15182,russian
8609,filipino
32168,korean
1125,mexican
25244,russian
46889,vietnamese
13841,thai
47135,moroccan
29036,indian
43533,japanese
41631,jamaican
22124,cajun_creole
18836,cajun_creole
35695,russian
5141,indian
41894,moroccan
4972,italian
34195,korean
14183,irish
15188,japanese
8734,italian
30946,spanish
5588,cajun_creole
49554,british
1270,moroccan
1259,vietnamese
45986,moroccan
22351,southern_us
300,mexican
9278,british
10021,indian
17014,russian
40855,russian
18362,korean
16292,korean
29924,russian
47174,cajun_creole
4856,italian
15417,spanish
19875,brazilian
