id,pricing_category
T0005834792,2.0
T0005896349,2.0
T0005775167,1.0
T0005776893,2.0
T0005801375,3.0
T0005747788,3.0
T0005780569,2.0
T0005722022,2.0
T0005744356,3.0
T0005889061,1.0
T0005830411,2.0
T0005855411,2.0
T0005826318,3.0
T0005696144,3.0
T0005869945,2.0
T0005726719,2.0
T0005767375,3.0
T0005907992,2.0
T0005704534,3.0
T0005801220,3.0
T0005838629,2.0
T0005827275,2.0
T0005830915,2.0
T0005705364,3.0
T0005750228,3.0
T0005881552,3.0
T0005840933,3.0
T0005830013,2.0
T0005842309,3.0
T0005716468,1.0
T0005866624,3.0
T0005759725,2.0
T0005884746,1.0
T0005701336,2.0
T0005876141,3.0
T0005713576,2.0
T0005719377,2.0
T0005906607,2.0
T0005873254,2.0
T0005846865,1.0
T0005770917,3.0
T0005820406,3.0
T0005866143,2.0
T0005749214,1.0
T0005717712,3.0
T0005728876,3.0
T0005808272,2.0
T0005814420,3.0
T0005903791,2.0
T0005897433,2.0
T0005857494,2.0
T0005876183,2.0
T0005755188,2.0
T0005753048,1.0
T0005905973,2.0
T0005733583,2.0
T0005836818,3.0
T0005725784,2.0
T0005726918,3.0
T0005889923,1.0
T0005889720,2.0
T0005838543,2.0
T0005816514,2.0
T0005830530,2.0
T0005857990,3.0
T0005843452,1.0
T0005817786,3.0
T0005765234,1.0
T0005788332,2.0
T0005738689,3.0
T0005714049,2.0
T0005826218,2.0
T0005699417,1.0
T0005809165,1.0
T0005737834,3.0
T0005893160,2.0
T0005840994,3.0
T0005715538,2.0
T0005904817,3.0
T0005697409,1.0
T0005852982,2.0
T0005784322,2.0
T0005759630,2.0
T0005734106,2.0
T0005739444,2.0
T0005744305,1.0
T0005721212,2.0
T0005848918,3.0
T0005721699,2.0
T0005906699,1.0
T0005771032,2.0
T0005883427,2.0
T0005796533,2.0
T0005776249,2.0
T0005735033,2.0
T0005720258,3.0
T0005781997,3.0
T0005810846,1.0
T0005816998,2.0
T0005710534,2.0
T0005906092,2.0
T0005823638,3.0
T0005786899,3.0
T0005908514,1.0
T0005797591,2.0
T0005846083,3.0
T0005781929,2.0
T0005858977,1.0
T0005816249,1.0
T0005818394,3.0
T0005730073,2.0
T0005846879,3.0
T0005881657,2.0
T0005709007,2.0
T0005836253,2.0
T0005727920,3.0
T0005874276,2.0
T0005803466,2.0
T0005757915,3.0
T0005784238,2.0
T0005703846,1.0
T0005865902,3.0
T0005884140,3.0
T0005836184,2.0
T0005836121,2.0
T0005846396,3.0
T0005742590,1.0
T0005832213,2.0
T0005740082,3.0
T0005765958,3.0
T0005758053,2.0
T0005815885,2.0
T0005707815,3.0
T0005878802,3.0
T0005833805,2.0
T0005745774,2.0
T0005867923,3.0
T0005902919,1.0
T0005882273,2.0
T0005837512,3.0
T0005766188,2.0
T0005870893,3.0
T0005747087,3.0
T0005882214,3.0
T0005838902,2.0
T0005714388,3.0
T0005705409,3.0
T0005810702,2.0
T0005833233,2.0
T0005713178,2.0
T0005743521,2.0
T0005824371,1.0
T0005768950,1.0
T0005858132,2.0
T0005759662,2.0
T0005830780,1.0
T0005878330,3.0
T0005738892,2.0
T0005779206,2.0
T0005762699,3.0
T0005899131,2.0
T0005904070,2.0
T0005799933,1.0
T0005801026,3.0
T0005831417,2.0
T0005881720,2.0
T0005767201,2.0
T0005839406,1.0
T0005811387,3.0
T0005878911,3.0
T0005863634,2.0
T0005701001,3.0
T0005784915,2.0
T0005813685,2.0
T0005903744,3.0
T0005818502,2.0
T0005854091,2.0
T0005859620,2.0
T0005780191,2.0
T0005798557,2.0
T0005823886,3.0
T0005702016,2.0
T0005750820,1.0
T0005791395,3.0
T0005827299,3.0
T0005755256,1.0
T0005795874,2.0
T0005822436,1.0
T0005806875,3.0
T0005697353,3.0
T0005863389,2.0
T0005790728,2.0
T0005807681,3.0
T0005855436,2.0
T0005897249,1.0
T0005826228,2.0
T0005705297,3.0
T0005830371,3.0
T0005780281,2.0
T0005901307,1.0
T0005809453,1.0
T0005757325,2.0
T0005699988,1.0
T0005844970,2.0
T0005731766,3.0
T0005905358,3.0
T0005769964,3.0
T0005900985,2.0
T0005742222,2.0
T0005772720,2.0
T0005733394,3.0
T0005869549,2.0
T0005831238,2.0
T0005895324,1.0
T0005853105,2.0
T0005705414,3.0
T0005898152,2.0
T0005780324,2.0
T0005697635,2.0
T0005826095,3.0
T0005904519,2.0
T0005790360,3.0
T0005724177,3.0
T0005847354,1.0
T0005893720,2.0
T0005831112,2.0
T0005843920,2.0
T0005854357,1.0
T0005853557,1.0
T0005840788,3.0
T0005889791,1.0
T0005752107,2.0
T0005818849,2.0
T0005857168,2.0
T0005762242,2.0
T0005697013,3.0
T0005888121,1.0
T0005694732,3.0
T0005868752,1.0
T0005786289,2.0
T0005862929,3.0
T0005701032,2.0
T0005824417,3.0
T0005785564,3.0
T0005824013,2.0
T0005907477,1.0
T0005727230,1.0
T0005709196,3.0
T0005712621,3.0
T0005714667,1.0
T0005692087,3.0
T0005785828,3.0
T0005844737,1.0
T0005797545,2.0
T0005905151,3.0
T0005833300,1.0
T0005848159,2.0
T0005704553,2.0
T0005743167,2.0
T0005752916,3.0
T0005806443,2.0
T0005694499,2.0
T0005780611,2.0
T0005829042,3.0
T0005793813,2.0
T0005692049,1.0
T0005707353,3.0
T0005907114,2.0
T0005883322,2.0
T0005749103,2.0
T0005830194,2.0
T0005787149,3.0
T0005857644,1.0
T0005756122,1.0
T0005801918,1.0
T0005807125,2.0
T0005758345,2.0
T0005753257,2.0
T0005736185,3.0
T0005901981,2.0
T0005696328,3.0
T0005853265,1.0
T0005849693,2.0
T0005689627,3.0
T0005825337,2.0
T0005825930,2.0
T0005908239,3.0
T0005767307,1.0
T0005840776,1.0
T0005819334,2.0
T0005701819,2.0
T0005850819,3.0
T0005832582,2.0
T0005758185,2.0
T0005805372,3.0
T0005880215,2.0
T0005824947,2.0
T0005763457,2.0
T0005866719,3.0
T0005782671,3.0
T0005871630,2.0
T0005836354,2.0
T0005864279,1.0
T0005692037,2.0
T0005883066,2.0
T0005799632,1.0
T0005838625,1.0
T0005897139,2.0
T0005827884,1.0
T0005900868,3.0
T0005869007,2.0
T0005778979,3.0
T0005862798,2.0
T0005746651,3.0
T0005804926,2.0
T0005877856,3.0
T0005809478,2.0
T0005875177,2.0
T0005836656,2.0
T0005785115,2.0
T0005769179,2.0
T0005820242,2.0
T0005689513,2.0
T0005774138,2.0
T0005744567,2.0
T0005702068,2.0
T0005860754,3.0
T0005693037,3.0
T0005798729,2.0
T0005749264,3.0
T0005799296,2.0
T0005883094,2.0
T0005813378,2.0
T0005811115,1.0
T0005900556,2.0
T0005905104,1.0
T0005846904,3.0
T0005735649,2.0
T0005709855,3.0
T0005786255,2.0
T0005809243,1.0
T0005734061,3.0
T0005836435,2.0
T0005890771,3.0
T0005725583,2.0
T0005819101,2.0
T0005790666,2.0
T0005762136,1.0
T0005791638,2.0
T0005696731,3.0
T0005733762,2.0
T0005695500,2.0
T0005906527,3.0
T0005794680,1.0
T0005843990,1.0
T0005880509,3.0
T0005822113,2.0
T0005782211,2.0
T0005786976,1.0
T0005778488,2.0
T0005749010,2.0
T0005696018,2.0
T0005822946,1.0
T0005714708,3.0
T0005761820,2.0
T0005776928,1.0
T0005764736,2.0
T0005772983,1.0
T0005773677,2.0
T0005786024,3.0
T0005807451,2.0
T0005794457,1.0
T0005849193,3.0
T0005829353,3.0
T0005857096,1.0
T0005755648,2.0
T0005861690,2.0
T0005838003,3.0
T0005730197,3.0
T0005804815,3.0
T0005700749,2.0
T0005866552,2.0
T0005752742,2.0
T0005699328,3.0
T0005733316,2.0
T0005862166,1.0
T0005816964,3.0
T0005716136,3.0
T0005772415,2.0
T0005905292,1.0
T0005745530,1.0
T0005756584,3.0
T0005825546,3.0
T0005848289,2.0
T0005884676,3.0
T0005804052,2.0
T0005864955,3.0
T0005786955,2.0
T0005709161,2.0
T0005899682,3.0
T0005869885,2.0
T0005707630,2.0
T0005865778,3.0
T0005707935,1.0
T0005794354,1.0
T0005755516,3.0
T0005907374,3.0
T0005844315,2.0
T0005856516,3.0
T0005846209,2.0
T0005880837,1.0
T0005717952,2.0
T0005775320,2.0
T0005877204,3.0
T0005748687,2.0
T0005826133,2.0
T0005709193,2.0
T0005872027,2.0
T0005753316,2.0
T0005792969,3.0
T0005711603,2.0
T0005839173,1.0
T0005901317,2.0
T0005702683,2.0
T0005729577,2.0
T0005821934,1.0
T0005767240,2.0
T0005761541,2.0
T0005725645,1.0
T0005701347,3.0
T0005793036,1.0
T0005791375,2.0
T0005778119,2.0
T0005805024,2.0
T0005846916,2.0
T0005760099,2.0
T0005823896,1.0
T0005756157,3.0
T0005828554,2.0
T0005881974,3.0
T0005849814,3.0
T0005772675,3.0
T0005879072,2.0
T0005872675,3.0
T0005700289,2.0
T0005824021,2.0
T0005832618,3.0
T0005880100,3.0
T0005857135,3.0
T0005803644,3.0
T0005788160,3.0
T0005759268,2.0
T0005715778,1.0
T0005802724,3.0
T0005755133,2.0
T0005728442,3.0
T0005801338,2.0
T0005691100,2.0
T0005807811,3.0
T0005716536,2.0
T0005693869,2.0
T0005818669,3.0
T0005834330,2.0
T0005773615,2.0
T0005784903,1.0
T0005839402,2.0
T0005762605,2.0
T0005736165,2.0
T0005695527,2.0
T0005803965,2.0
T0005854687,2.0
T0005692067,2.0
T0005856407,2.0
T0005768108,3.0
T0005762744,2.0
T0005870847,3.0
T0005782395,3.0
T0005708324,2.0
T0005872031,3.0
T0005694183,2.0
T0005790412,3.0
T0005872691,3.0
T0005783928,3.0
T0005841797,2.0
T0005801053,2.0
T0005870773,3.0
T0005715441,3.0
T0005851417,3.0
T0005695635,1.0
T0005846574,2.0
T0005827093,3.0
T0005887402,2.0
T0005900653,2.0
T0005728810,2.0
T0005790995,1.0
T0005809219,2.0
T0005840419,2.0
T0005816043,2.0
T0005751073,1.0
T0005802973,1.0
T0005877703,3.0
T0005796599,2.0
T0005836451,1.0
T0005699174,3.0
T0005818063,3.0
T0005792141,2.0
T0005861798,2.0
T0005810168,3.0
T0005893541,2.0
T0005715711,1.0
T0005780810,3.0
T0005758815,2.0
T0005808212,2.0
T0005758386,3.0
T0005843189,1.0
T0005823761,3.0
T0005743721,2.0
T0005823709,3.0
T0005738218,3.0
T0005853617,2.0
T0005736961,2.0
T0005709879,2.0
T0005739347,3.0
T0005889829,3.0
T0005795466,1.0
T0005753942,3.0
T0005898984,3.0
T0005782350,1.0
T0005728728,2.0
T0005904999,2.0
T0005716841,2.0
T0005825357,1.0
T0005893762,2.0
T0005895779,3.0
T0005899975,2.0
T0005891086,3.0
T0005703468,2.0
T0005774098,2.0
T0005779448,2.0
T0005712794,2.0
T0005714129,3.0
T0005834056,2.0
T0005814071,3.0
T0005898540,2.0
T0005780610,2.0
T0005839306,1.0
T0005783358,1.0
T0005769015,3.0
T0005766591,3.0
T0005746892,2.0
T0005825258,2.0
T0005742166,2.0
T0005889874,3.0
T0005906601,1.0
T0005880291,2.0
T0005720606,1.0
T0005799707,3.0
T0005901687,3.0
T0005864590,2.0
T0005852490,1.0
T0005882040,1.0
T0005753379,3.0
T0005834356,2.0
T0005819888,2.0
T0005877023,3.0
T0005772388,2.0
T0005759526,3.0
T0005701757,2.0
T0005793597,1.0
T0005772169,1.0
T0005892816,3.0
T0005866831,2.0
T0005756209,3.0
T0005698753,1.0
T0005747393,3.0
T0005830535,3.0
T0005841742,3.0
T0005872308,2.0
T0005789478,3.0
T0005800767,2.0
T0005860359,2.0
T0005883245,1.0
T0005703248,1.0
T0005868592,2.0
T0005785844,2.0
T0005794628,1.0
T0005695662,2.0
T0005822786,2.0
T0005714807,1.0
