id,cuisine
18009,italian
28583,southern_us
41580,italian
29752,cajun_creole
35687,italian
38527,southern_us
19666,italian
41217,chinese
28753,mexican
22659,irish
21749,italian
44967,greek
42969,indian
44883,italian
20827,southern_us
23196,thai
35387,italian
33780,southern_us
19001,mexican
16526,southern_us
42455,japanese
47453,southern_us
42478,french
11885,jamaican
16585,italian
29639,french
26245,vietnamese
38516,korean
47520,italian
26212,italian
23696,mexican
14926,filipino
13292,japanese
27346,japanese
1384,chinese
15959,mexican
42297,russian
46235,indian
21181,indian
9809,jamaican
22982,cajun_creole
23120,japanese
26743,italian
12741,mexican
7050,italian
22437,italian
14760,spanish
10649,southern_us
48065,vietnamese
39931,chinese
32935,italian
40142,thai
19103,indian
38267,italian
30512,italian
3324,japanese
26197,italian
384,japanese
47230,chinese
39748,filipino
41038,british
24878,mexican
42624,filipino
45706,mexican
8874,mexican
23878,greek
47234,mexican
24075,thai
46323,italian
22562,italian
11358,italian
9201,indian
38620,southern_us
47638,british
21238,indian
11053,japanese
46602,indian
13937,mexican
21876,southern_us
20798,filipino
24381,chinese
48178,spanish
45832,italian
27560,korean
23247,southern_us
28975,british
43230,greek
9126,italian
13021,chinese
28194,chinese
25617,indian
36125,italian
16454,mexican
1607,chinese
38526,southern_us
18755,indian
12035,cajun_creole
16047,greek
15419,italian
16971,indian
31459,greek
27888,mexican
13900,french
12376,thai
1658,chinese
29431,mexican
22290,italian
28464,italian
37953,chinese
20814,mexican
35987,mexican
2329,italian
43237,mexican
30647,french
16675,italian
37722,mexican
32438,japanese
20287,filipino
43296,indian
6237,greek
48560,japanese
20810,mexican
34951,french
31850,vietnamese
47745,southern_us
37815,thai
9872,italian
5592,italian
27411,thai
39320,french
40247,french
19792,mexican
40754,spanish
14365,mexican
14468,spanish
47563,italian
19611,italian
7163,mexican
43069,irish
27505,chinese
36500,japanese
25932,southern_us
817,italian
8471,french
48250,mexican
9413,thai
12097,cajun_creole
8416,italian
5892,italian
676,southern_us
47015,japanese
21891,greek
14630,italian
36195,italian
25981,mexican
39964,french
28298,indian
31954,french
26620,mexican
14932,southern_us
47426,italian
1038,southern_us
8077,southern_us
37141,southern_us
45447,italian
9624,mexican
45589,italian
7265,southern_us
31844,southern_us
13046,italian
9867,southern_us
29184,moroccan
34783,greek
2823,vietnamese
18932,mexican
11112,mexican
12859,thai
9365,italian
44516,italian
18193,irish
46545,italian
9900,italian
14815,mexican
39690,italian
22193,southern_us
11739,indian
27311,chinese
36920,indian
7861,indian
29248,moroccan
43142,mexican
7574,japanese
8610,mexican
989,italian
46926,mexican
40816,thai
39726,chinese
42229,russian
10474,italian
22140,mexican
31985,indian
46165,japanese
20860,italian
42494,italian
15968,chinese
20484,thai
26661,thai
47182,mexican
22528,italian
3861,mexican
1203,french
45040,southern_us
33287,indian
10097,mexican
42005,italian
12423,spanish
39613,filipino
30276,brazilian
18686,mexican
3031,french
40093,greek
182,french
46591,mexican
4092,chinese
13722,southern_us
44575,italian
14989,italian
13270,italian
25529,italian
12140,indian
23127,mexican
13523,italian
41270,italian
8362,thai
11735,southern_us
27935,italian
28198,mexican
37765,indian
33856,british
30198,chinese
42521,italian
21567,italian
36995,russian
24967,thai
45002,mexican
48925,southern_us
36914,southern_us
2280,southern_us
14729,cajun_creole
4594,italian
2237,mexican
45631,moroccan
2317,southern_us
23079,russian
29333,chinese
48066,mexican
15737,southern_us
30580,italian
1119,italian
46336,moroccan
5026,mexican
10749,indian
31020,mexican
30805,irish
27653,chinese
35060,southern_us
39174,italian
49509,italian
31784,greek
31408,french
36029,indian
11045,irish
6561,mexican
26992,french
31179,southern_us
35099,mexican
11018,japanese
17930,mexican
21302,italian
46352,thai
25132,mexican
7010,southern_us
25850,british
19601,mexican
7935,italian
34994,filipino
25113,french
45523,irish
34977,southern_us
7124,southern_us
27514,southern_us
27178,mexican
47880,korean
29197,spanish
16347,italian
20333,mexican
29112,irish
7510,italian
13897,mexican
35699,moroccan
20520,mexican
38920,mexican
21775,indian
37475,japanese
40131,cajun_creole
1939,mexican
48268,filipino
34815,chinese
13797,italian
39063,chinese
29064,chinese
26896,spanish
29477,italian
3352,british
4966,mexican
7316,italian
23879,mexican
16525,mexican
32843,italian
39574,mexican
32737,mexican
44788,british
28772,italian
34189,mexican
33719,cajun_creole
25846,indian
1423,indian
4328,vietnamese
579,italian
5219,indian
2314,cajun_creole
31143,moroccan
13409,thai
3281,greek
15804,thai
40835,cajun_creole
39262,korean
37013,indian
14807,jamaican
47956,mexican
2580,mexican
13720,italian
23008,korean
5951,indian
39312,mexican
6176,southern_us
17617,chinese
57,mexican
43422,russian
49403,italian
44751,irish
21865,mexican
26584,french
39355,korean
14038,mexican
45396,indian
49715,mexican
41515,thai
30445,brazilian
4090,spanish
17207,vietnamese
40376,italian
19398,italian
22347,vietnamese
49671,mexican
40854,italian
926,chinese
47919,mexican
20571,italian
18866,british
48742,mexican
14577,italian
29481,italian
40996,italian
34470,greek
31147,mexican
35932,italian
27221,italian
48301,italian
29925,japanese
48640,thai
22873,southern_us
10565,mexican
15509,spanish
37569,southern_us
13306,chinese
40474,italian
15182,russian
8609,vietnamese
32168,southern_us
1125,mexican
25244,italian
46889,thai
13841,vietnamese
47135,moroccan
29036,indian
43533,chinese
41631,southern_us
22124,cajun_creole
18836,cajun_creole
35695,french
5141,indian
41894,moroccan
4972,italian
34195,thai
14183,southern_us
15188,indian
8734,italian
30946,cajun_creole
5588,southern_us
49554,southern_us
1270,indian
1259,vietnamese
45986,greek
22351,southern_us
300,mexican
9278,southern_us
10021,indian
17014,russian
40855,italian
18362,chinese
16292,chinese
29924,french
47174,mexican
4856,italian
15417,italian
19875,russian
42228,indian
36264,mexican
14571,southern_us
23496,chinese
43879,italian
23431,indian
5499,italian
247,southern_us
48795,indian
47113,italian
489,mexican
13036,japanese
4838,italian
40630,indian
17576,italian
29972,indian
8123,indian
35918,mexican
42669,italian
24632,filipino
35740,indian
45670,italian
28041,filipino
46688,japanese
10309,vietnamese
15367,southern_us
30562,southern_us
47151,moroccan
47300,vietnamese
31200,french
5749,french
41807,italian
13990,mexican
23572,greek
872,french
38085,thai
5248,chinese
26309,mexican
26880,mexican
41559,mexican
8059,japanese
26041,thai
30019,indian
7207,indian
30309,french
2092,french
8023,chinese
4016,british
24631,irish
35068,southern_us
8523,thai
28463,brazilian
8629,spanish
43829,cajun_creole
22129,french
34505,chinese
38200,chinese
36513,japanese
32187,italian
7788,southern_us
31130,filipino
40483,southern_us
2224,southern_us
14143,vietnamese
22889,indian
17406,korean
10451,indian
19844,italian
23416,british
33874,french
39951,italian
41361,mexican
44659,indian
8836,french
21709,indian
22993,thai
39191,southern_us
17182,mexican
20507,korean
42397,italian
18897,italian
3797,thai
11041,brazilian
807,vietnamese
3514,italian
12936,thai
15050,southern_us
43377,cajun_creole
10471,chinese
30721,mexican
14333,indian
6260,chinese
7712,southern_us
19048,southern_us
21455,mexican
18575,cajun_creole
47647,southern_us
35947,mexican
14499,italian
43525,british
5723,italian
48497,italian
43822,cajun_creole
525,greek
30594,mexican
47948,southern_us
2099,indian
43863,mexican
24711,vietnamese
15230,indian
21680,indian
36218,mexican
41622,chinese
34809,italian
5110,french
27214,french
34803,french
36822,indian
6912,indian
20373,italian
29157,french
6327,mexican
35502,mexican
8305,jamaican
35598,filipino
48538,indian
49358,indian
44506,mexican
39146,japanese
29270,french
20560,mexican
24169,southern_us
41537,italian
10431,italian
31517,mexican
34049,chinese
26964,chinese
49655,italian
9101,french
30377,french
7046,indian
47969,mexican
18971,southern_us
38891,mexican
29506,korean
40305,italian
21255,southern_us
15578,mexican
24894,southern_us
32089,chinese
46097,thai
40982,italian
12543,indian
38366,mexican
32925,italian
17506,vietnamese
48389,italian
41804,korean
9961,chinese
24939,indian
39599,southern_us
45838,mexican
48875,indian
25531,chinese
3009,cajun_creole
31965,indian
16901,italian
13370,italian
2954,thai
40353,italian
8207,jamaican
10933,japanese
38206,southern_us
14110,mexican
19128,italian
32616,indian
27748,mexican
31858,italian
20510,korean
17602,thai
35665,japanese
46589,indian
8178,mexican
34880,italian
42527,mexican
29682,indian
32166,japanese
30343,russian
15385,cajun_creole
18372,thai
29211,italian
23269,chinese
4561,mexican
27365,vietnamese
49032,japanese
22064,spanish
12060,mexican
47834,southern_us
25815,southern_us
34036,moroccan
19326,chinese
44078,chinese
31090,french
17485,italian
708,indian
5350,vietnamese
29754,japanese
18309,italian
46871,french
27300,southern_us
41890,mexican
49548,italian
11392,french
1354,mexican
48819,southern_us
19097,french
42113,greek
24060,vietnamese
25849,mexican
4543,french
25306,southern_us
41966,greek
48719,indian
48191,thai
8826,southern_us
42703,mexican
16083,southern_us
26613,japanese
28088,italian
39965,southern_us
36239,french
4322,spanish
9951,french
3045,mexican
28585,greek
39841,italian
25913,mexican
