id,cuisine
18009,italian
28583,southern_us
41580,italian
29752,cajun_creole
35687,italian
38527,southern_us
19666,spanish
41217,chinese
28753,mexican
22659,southern_us
21749,italian
44967,french
42969,indian
44883,italian
20827,british
23196,french
35387,french
33780,southern_us
19001,cajun_creole
16526,british
42455,japanese
47453,chinese
42478,italian
11885,korean
16585,italian
29639,southern_us
26245,vietnamese
38516,korean
47520,italian
26212,indian
23696,mexican
14926,filipino
13292,korean
27346,japanese
1384,chinese
15959,mexican
42297,russian
46235,indian
21181,italian
9809,filipino
22982,filipino
23120,chinese
26743,french
12741,mexican
7050,italian
22437,italian
14760,italian
10649,filipino
48065,british
39931,chinese
32935,french
40142,thai
19103,indian
38267,italian
30512,italian
3324,chinese
26197,italian
384,japanese
47230,japanese
39748,mexican
41038,french
24878,french
42624,filipino
45706,korean
8874,mexican
23878,italian
47234,indian
24075,italian
46323,italian
22562,italian
11358,mexican
9201,indian
38620,italian
47638,chinese
21238,indian
11053,japanese
46602,indian
13937,mexican
21876,southern_us
20798,italian
24381,chinese
48178,italian
45832,italian
27560,chinese
23247,southern_us
28975,french
43230,greek
9126,italian
13021,cajun_creole
28194,cajun_creole
25617,italian
36125,italian
16454,mexican
1607,chinese
38526,italian
18755,mexican
12035,indian
16047,greek
15419,italian
16971,indian
31459,greek
27888,french
13900,italian
12376,italian
1658,french
29431,indian
22290,italian
28464,italian
37953,korean
20814,indian
35987,indian
2329,italian
43237,mexican
30647,jamaican
16675,indian
37722,chinese
32438,chinese
20287,chinese
43296,indian
6237,italian
48560,korean
20810,mexican
34951,french
31850,italian
47745,indian
37815,greek
9872,italian
5592,italian
27411,vietnamese
39320,southern_us
40247,french
19792,mexican
40754,italian
14365,mexican
14468,southern_us
47563,mexican
19611,italian
7163,mexican
43069,irish
27505,filipino
36500,chinese
25932,irish
817,italian
8471,french
48250,southern_us
9413,mexican
12097,cajun_creole
8416,italian
5892,italian
676,french
47015,cajun_creole
21891,italian
14630,italian
36195,cajun_creole
25981,mexican
39964,vietnamese
28298,indian
31954,spanish
26620,mexican
14932,southern_us
47426,indian
1038,italian
8077,southern_us
37141,southern_us
45447,italian
9624,mexican
45589,italian
7265,indian
31844,southern_us
13046,italian
9867,southern_us
29184,moroccan
34783,italian
2823,vietnamese
18932,mexican
11112,mexican
12859,thai
9365,spanish
44516,japanese
18193,british
46545,italian
9900,italian
14815,mexican
39690,indian
22193,french
11739,southern_us
27311,mexican
36920,indian
7861,japanese
29248,french
43142,mexican
7574,korean
8610,mexican
989,italian
46926,italian
40816,italian
39726,chinese
42229,southern_us
10474,mexican
22140,mexican
31985,indian
46165,japanese
20860,italian
42494,italian
15968,mexican
20484,indian
26661,italian
47182,mexican
22528,french
3861,brazilian
1203,cajun_creole
45040,russian
33287,indian
10097,chinese
42005,southern_us
12423,italian
39613,filipino
30276,brazilian
18686,mexican
3031,french
40093,italian
182,french
46591,mexican
4092,chinese
13722,southern_us
44575,italian
14989,mexican
13270,italian
25529,italian
12140,indian
23127,mexican
13523,italian
41270,italian
8362,chinese
11735,mexican
27935,italian
28198,mexican
37765,mexican
33856,british
30198,mexican
42521,italian
21567,italian
36995,indian
24967,thai
45002,mexican
48925,indian
36914,indian
2280,southern_us
14729,southern_us
4594,italian
2237,italian
45631,moroccan
2317,filipino
23079,french
29333,chinese
48066,italian
15737,italian
30580,mexican
1119,british
46336,filipino
5026,italian
10749,brazilian
31020,mexican
30805,cajun_creole
27653,japanese
35060,mexican
39174,indian
49509,italian
31784,french
31408,french
36029,southern_us
11045,indian
6561,british
26992,french
31179,irish
35099,thai
11018,japanese
17930,mexican
21302,italian
46352,thai
25132,mexican
7010,french
25850,british
19601,mexican
7935,italian
34994,filipino
25113,italian
45523,italian
34977,brazilian
7124,southern_us
27514,british
27178,mexican
47880,chinese
29197,french
16347,irish
20333,mexican
29112,chinese
7510,british
13897,indian
35699,french
20520,mexican
38920,chinese
21775,indian
37475,japanese
40131,cajun_creole
1939,mexican
48268,cajun_creole
34815,mexican
13797,italian
39063,chinese
29064,japanese
26896,italian
29477,french
3352,southern_us
4966,mexican
7316,italian
23879,mexican
16525,italian
32843,chinese
39574,jamaican
32737,mexican
44788,filipino
28772,italian
34189,mexican
33719,mexican
25846,mexican
1423,british
4328,korean
579,indian
5219,indian
2314,southern_us
31143,italian
13409,japanese
3281,greek
15804,filipino
40835,southern_us
39262,korean
37013,indian
14807,jamaican
47956,italian
2580,mexican
13720,italian
23008,japanese
5951,indian
39312,korean
6176,southern_us
17617,italian
57,mexican
43422,indian
49403,indian
44751,mexican
21865,mexican
26584,british
39355,korean
14038,korean
45396,spanish
49715,mexican
41515,thai
30445,italian
4090,italian
17207,thai
40376,italian
19398,italian
22347,mexican
49671,mexican
40854,italian
926,cajun_creole
47919,mexican
20571,italian
18866,indian
48742,cajun_creole
14577,italian
29481,french
40996,italian
34470,italian
31147,mexican
35932,indian
27221,italian
48301,italian
29925,japanese
48640,mexican
22873,french
10565,chinese
15509,italian
37569,southern_us
13306,southern_us
40474,southern_us
15182,indian
8609,chinese
32168,chinese
1125,indian
25244,italian
46889,chinese
13841,french
47135,moroccan
29036,indian
43533,chinese
41631,spanish
22124,french
18836,italian
35695,french
5141,indian
41894,mexican
4972,italian
34195,thai
14183,italian
15188,chinese
8734,italian
30946,irish
5588,italian
49554,french
1270,indian
1259,southern_us
45986,italian
22351,southern_us
300,mexican
9278,indian
10021,italian
17014,french
40855,italian
18362,japanese
16292,chinese
29924,british
47174,southern_us
4856,french
15417,italian
19875,indian
42228,indian
36264,mexican
14571,indian
23496,french
43879,indian
23431,indian
5499,southern_us
247,mexican
48795,indian
47113,italian
489,mexican
13036,filipino
4838,italian
40630,indian
17576,italian
29972,indian
8123,indian
35918,mexican
42669,italian
24632,italian
35740,mexican
45670,italian
28041,filipino
46688,japanese
10309,italian
15367,mexican
30562,southern_us
47151,moroccan
47300,vietnamese
31200,mexican
5749,french
41807,french
13990,mexican
23572,greek
872,french
38085,vietnamese
5248,chinese
26309,japanese
26880,mexican
41559,mexican
8059,mexican
26041,thai
30019,indian
7207,indian
30309,french
2092,french
8023,japanese
4016,mexican
24631,italian
35068,southern_us
8523,mexican
28463,italian
8629,spanish
43829,cajun_creole
22129,indian
34505,chinese
38200,japanese
36513,korean
32187,italian
7788,southern_us
31130,indian
40483,irish
2224,italian
14143,mexican
22889,chinese
17406,chinese
10451,italian
19844,filipino
23416,french
33874,indian
39951,italian
41361,mexican
44659,mexican
8836,french
21709,indian
22993,mexican
39191,southern_us
17182,mexican
20507,korean
42397,cajun_creole
18897,french
3797,brazilian
11041,brazilian
807,italian
3514,italian
12936,korean
15050,british
43377,cajun_creole
10471,chinese
30721,mexican
14333,indian
6260,chinese
7712,cajun_creole
19048,japanese
21455,mexican
18575,cajun_creole
47647,indian
35947,mexican
14499,italian
43525,british
5723,italian
48497,italian
43822,indian
525,italian
30594,mexican
47948,southern_us
2099,indian
43863,mexican
24711,mexican
15230,filipino
21680,indian
36218,mexican
41622,chinese
34809,chinese
5110,greek
27214,greek
34803,british
36822,indian
6912,vietnamese
20373,french
29157,chinese
6327,mexican
35502,italian
8305,italian
35598,french
48538,indian
49358,indian
44506,mexican
39146,indian
29270,french
20560,mexican
24169,southern_us
41537,italian
10431,italian
31517,southern_us
34049,chinese
26964,italian
49655,italian
9101,french
30377,italian
7046,indian
47969,japanese
18971,french
38891,italian
29506,chinese
40305,southern_us
21255,indian
15578,french
24894,southern_us
32089,chinese
46097,korean
40982,italian
12543,british
38366,southern_us
32925,italian
17506,japanese
48389,southern_us
41804,korean
9961,thai
24939,indian
39599,indian
45838,mexican
48875,indian
25531,british
3009,cajun_creole
31965,indian
16901,italian
13370,italian
2954,japanese
40353,italian
8207,jamaican
10933,japanese
38206,cajun_creole
14110,italian
19128,italian
32616,indian
27748,mexican
31858,british
20510,italian
17602,vietnamese
35665,southern_us
46589,indian
8178,mexican
34880,italian
42527,chinese
29682,filipino
32166,korean
30343,irish
15385,filipino
18372,japanese
29211,italian
23269,chinese
4561,italian
27365,thai
49032,japanese
22064,greek
12060,french
47834,southern_us
25815,french
34036,italian
19326,mexican
44078,french
31090,italian
17485,italian
708,indian
5350,filipino
29754,japanese
18309,italian
46871,french
27300,southern_us
41890,italian
49548,southern_us
11392,french
1354,mexican
48819,southern_us
19097,brazilian
42113,greek
24060,vietnamese
25849,italian
4543,italian
25306,british
41966,italian
48719,mexican
48191,thai
8826,french
42703,mexican
16083,southern_us
26613,southern_us
28088,filipino
39965,southern_us
36239,italian
4322,french
9951,french
3045,mexican
28585,greek
39841,british
25913,korean
39715,vietnamese
23135,greek
47022,indian
24160,southern_us
18619,french
12574,chinese
22681,mexican
33692,cajun_creole
538,mexican
22118,chinese
21890,italian
36340,indian
27973,french
12870,mexican
22564,japanese
